,name,wiki_id
0,Cate Blanchett,Q80966
1,Natalie Portman,Q37876
2,Uma Thurman,Q125017
3,Helena Bonham Carter,Q170428
4,Frances McDormand,Q204299
5,Meryl Streep,Q873
6,Sigourney Weaver,Q102124
7,Charlize Theron,Q80046
8,Julianne Moore,Q80405
9,Robin Wright,Q272972
10,Jodie Foster,Q41351
11,Rachel McAdams,Q190386
12,Emma Stone,Q147077
13,Ellen Burstyn,Q211144
14,Saoirse Ronan,Q228603
15,Marlene Dietrich,Q4612
16,Nicole Kidman,Q37459
17,Sally Hawkins,Q233563
18,Jennifer Lawrence,Q189490
19,Marilyn Monroe,Q4616
20,Julie Delpy,Q110462
21,Keira Knightley,Q42581
22,Adèle Exarchopoulos,Q2825427
23,Anne Hathaway,Q36301
24,Kim Novak,Q212879
25,Ingrid Bergman,Q43247
26,Amy Adams,Q481832
27,Margot Robbie,Q1924847
28,Mélanie Laurent,Q234581
29,Emma Watson,Q39476
30,Jennifer Connelly,Q103343
31,Kate Winslet,Q202765
32,Marion Cotillard,Q8927
33,Shelley Duvall,Q235478
34,Diane Kruger,Q57118
35,Mia Farrow,Q202725
36,Bette Davis,Q71206
37,Jennifer Jason Leigh,Q232902
38,Hilary Swank,Q93187
39,Alicia Vikander,Q439314
40,Jessica Chastain,Q229313
41,Julia Roberts,Q40523
42,Bibi Andersson,Q234921
43,Vivien Leigh,Q129429
44,Eva Green,Q191644
45,Audrey Tautou,Q304123
46,Léa Seydoux,Q231096
47,Tilda Swinton,Q200534
48,Milla Jovovich,Q170576
49,Faye Dunaway,Q168721
50,Scarlett Johansson,Q34436
51,Angelina Jolie,Q13909
52,Brie Larson,Q29328
53,Rosamund Pike,Q230004
54,Anna Kendrick,Q67701
55,Carey Mulligan,Q219655
56,Janet Leigh,Q205314
57,Liv Ullmann,Q191064
58,Diane Keaton,Q102642
59,Julia Louis-Dreyfus,Q232072
60,Emily Blunt,Q193517
61,Amanda Plummer,Q238483
62,Felicity Jones,Q234447
63,Virginia Cherrill,Q13435675
64,Grace Kelly,Q3925
65,Gloria Swanson,Q229232
66,Talia Shire,Q108622
67,Viola Davis,Q229181
68,Naomi Watts,Q132616
69,Carrie Fisher,Q108941
70,Maggie Smith,Q172653
71,Vera Farmiga,Q264840
72,Hailee Steinfeld,Q231726
73,Elizabeth Olsen,Q234644
74,Elliot Page,Q173399
75,Sharon Stone,Q62975
76,Rooney Mara,Q228766
77,Daisy Ridley,Q16738674
78,Kim Basinger,Q131380
79,Elizabeth Banks,Q219373
80,Lauren Cohan,Q128507
81,Emmy Rossum,Q35912
82,Kate Mara,Q231249
83,Olga Kurylenko,Q164730
84,Demi Moore,Q43044
85,Joan Allen,Q229305
86,Chloë Grace Moretz,Q4509
87,Blake Lively,Q162959
88,Rachel Weisz,Q134077
89,Kaya Scodelario,Q229651
90,Katherine Parkinson,Q265208
91,Michelle Pfeiffer,Q159778
92,Maggie Gyllenhaal,Q202381
93,Katheryn Winnick,Q268298
94,Evangeline Lilly,Q160392
95,Octavia Spencer,Q229254
96,Alyson Hannigan,Q199927
97,Cameron Diaz,Q44380
98,Jennifer Aniston,Q32522
99,Kirsten Dunst,Q76478
100,Jack Nicholson,Q39792
101,Marlon Brando,Q34012
102,Robert De Niro,Q36949
103,Al Pacino,Q41163
104,Daniel Day-Lewis,Q166389
105,Dustin Hoffman,Q42930
106,Tom Hanks,Q2263
107,Anthony Hopkins,Q65932
108,Paul Newman,Q41871
109,Denzel Washington,Q42101
110,Spencer Tracy,Q71275
111,Laurence Olivier,Q55245
112,Jack Lemmon,Q94123
113,Michael Caine,Q123351
114,James Stewart,Q102462
115,Robin Williams,Q83338
116,Robert Duvall,Q171736
117,Sean Penn,Q44221
118,Morgan Freeman,Q48337
119,Jeff Bridges,Q174843
120,Sidney Poitier,Q104049
121,Peter O'Toole,Q103876
122,Clint Eastwood,Q43203
123,Gene Hackman,Q150943
124,Charles Chaplin,Q882
125,Ben Kingsley,Q173158
126,Philip Seymour Hoffman,Q180560
127,Leonardo DiCaprio,Q38111
128,Russell Crowe,Q129817
129,Kevin Spacey,Q25144
130,Humphrey Bogart,Q16390
131,Gregory Peck,Q108366
132,Clark Gable,Q71243
133,Gary Cooper,Q93957
134,George C. Scott,Q182450
135,Jason Robards,Q296630
136,Charles Laughton,Q55264
137,Anthony Quinn,Q83484
138,Peter Sellers,Q177984
139,James Cagney,Q94041
140,Peter Finch,Q294454
141,Henry Fonda,Q19155
142,Cary Grant,Q83410
143,Richard Burton,Q151973
144,Burt Lancaster,Q160528
145,William Holden,Q95002
146,John Wayne,Q40531
147,Kirk Douglas,Q104027
148,Alec Guinness,Q103894
149,Christopher Plummer,Q190523
150,Tommy Lee Jones,Q170587
151,Sean Connery,Q4573
152,Alan Arkin,Q108283
153,Christopher Walken,Q185051
154,Joe Pesci,Q20178
155,Ian McKellen,Q170510
156,Michael Douglas,Q119798
157,Jon Voight,Q167520
158,Albert Finney,Q219546
159,Geoffrey Rush,Q166272
160,Jeremy Irons,Q171745
161,Javier Bardem,Q134895
162,Heath Ledger,Q40572
163,Christoph Waltz,Q76819
164,Ralph Fiennes,Q28493
165,Johnny Depp,Q37175
166,Benicio Del Toro,Q193668
167,Jamie Foxx,Q171905
168,Joaquin Phoenix,Q185140
169,Colin Firth,Q162492
170,Matthew McConaughey,Q188955
171,Christian Bale,Q45772
172,Gary Oldman,Q83492
173,Edward Norton,Q125904
174,Brad Pitt,Q35332
175,Tom Cruise,Q37079
176,Matt Damon,Q175535
177,Hugh Jackman,Q129591
178,Robert Downey Jr.,Q165219
179,Liam Neeson,Q58444
180,Mel Gibson,Q42229
181,Harrison Ford,Q81328
182,Woody Allen,Q25089
183,Steve McQueen,Q159347
184,Orson Welles,Q24829
185,Robert Redford,Q59215
186,James Dean,Q83359
187,Charlton Heston,Q80739
188,Gene Kelly,Q73089
189,Robert Mitchum,Q16472
190,Bill Murray,Q29250
191,Samuel L. Jackson,Q172678
192,Jim Carrey,Q40504
193,Don Cheadle,Q272019
194,Martin Sheen,Q184572
195,Alan Rickman,Q106481
196,Edward G. Robinson,Q83812
197,Will Smith,Q40096
198,John Goodman,Q215072
199,Buster Keaton,Q103949
200,Margot Robbie,Q1924847
201,Samara Weaving,Q7408805
202,Emma Stone,Q147077
203,Jamie King,Q2010690
204,Emma Mackey,Q60590137
205,Lucy Liu,Q188375
206,Jimmy Fallon,Q335680
207,Liam Hemsworth,Q32045
208,Chris Hemsworth,Q54314
